names,scores,logfoldchanges,pvals,pvals_adj
ZNF229,-1.2613205,-0.2439616,0.20719341833617066,0.749121697300398
OGT,-1.2614503,0.08499221,0.2071466399981715,0.7490333166855715
RPP40,-1.26184,-0.68834025,0.20700635096949105,0.748606749926115
ADGRG6,-1.2621864,-2.5503323,0.20688170751025925,0.7482366770709667
HJURP,-1.2623163,-1.3483827,0.20683498026030978,0.7481483572012801
CCDC71L,-1.2624463,-0.4419816,0.20678826067177591,0.7480600459939619
MCPH1,-1.262706,-3.4114795,0.20669484447708308,0.7478027717445968
ZNF304,-1.2633555,-1.2520931,0.20646143803234562,0.7470389156034962
AL118516.1,-1.2634854,-0.7287404,0.20641477971827504,0.746950677836805
PPFIBP1,-1.2637886,0.08068165,0.20630594009595538,0.7466373819939734
SEPT1,-1.2640051,-0.02714921,0.20622822302927024,0.7464366656546153
KALRN,-1.2645246,-0.9119957,0.2060417888253494,0.7458423652050262
WDR24,-1.264871,0.2024713,0.20591756738846667,0.7454731622489632
MAGEH1,-1.2649143,0.23885615,0.2059020435351292,0.7454731622489632
CHST10,-1.2653906,-0.5007332,0.20573133725940107,0.7449597915143374
GALT,-1.2655206,-0.11146936,0.20568479885404456,0.7448716967894339
FAM149B1,-1.2656504,-0.2287363,0.2056382680985075,0.7447836107438168
GPR4,-1.2662566,-1.1287669,0.20542122570639687,0.7440778774966128
AJUBA,-1.2663432,-1.1118608,0.20539023324641836,0.744045975655474
KIF18B,-1.266603,-0.87433225,0.2052972762574542,0.7437895701763529
ALDH6A1,-1.2667762,-0.74493694,0.20523532192255023,0.7436454436731299
MISP3,-1.2669494,-4.6796575,0.20517338117919315,0.7435013352769076
ABHD15,-1.2672092,0.070854045,0.20508049554584995,0.7432450464249747
CST9,-1.2673824,-1.9203358,0.20501858877644186,0.7431009867485471
NAALADL1,-1.2679886,-0.5092206,0.20480202207855602,0.7423962620482719
ADGRF5,-1.2681618,-0.2517053,0.20474017644452436,0.7422523011130103
SPIN2B,-1.2689412,-2.0198886,0.20446203915900185,0.7413240939799572
CD86,-1.2691576,-0.26337084,0.20438482760029442,0.7411242672784814
C2orf69,-1.2693741,-0.608027,0.20430763725415235,0.7409244742895503
ANKRD42,-1.2698938,-0.56612545,0.2041224669574463,0.7403330049549944
GTPBP10,-1.2699804,-0.40033615,0.20409161711697943,0.7403011740070579
AC093673.1,-1.2699804,-1.0441669,0.20409161711697943,0.7403011740070579
TRMT11,-1.2701536,-0.3165862,0.20402992761389938,0.7402375283767804
PLXNC1,-1.2701536,0.0831007,0.20402992761389938,0.7402375283767804
SPDL1,-1.2704134,-24.767252,0.20393741880178617,0.7400620159894291
FAM117A,-1.2706732,0.09960732,0.2038449405172751,0.7398064727917294
CXCR3,-1.2715392,-0.23078282,0.2035368999967816,0.7387684580186213
B3GALT4,-1.2716258,-0.14702474,0.20350611459267143,0.7387366675191054
AC021054.1,-1.2720587,-0.6151387,0.20335223841874595,0.738257996545562
RBM48,-1.2721454,-0.87599695,0.20332147335228812,0.7382262177426695
TRNT1,-1.2721454,-0.6631079,0.20332147335228812,0.7382262177426695
ROBO3,-1.2724484,-0.24439001,0.20321382230798812,0.7379951459193618
MTA2,-1.272665,-0.73108107,0.20313695411984956,0.7377958812293172
